airport,latitude,longitude
ABE,40.1658829,-84.3743929
AEX,31.329273649999998,-92.54095486627727
AGS,37.7794178,-122.3960076
ALB,55.001251,-115.002136
ATL,33.63779875,-84.42927118585675
ATW,13.770767,43.777669
AUS,30.19348925,-97.66500963529677
AVL,47.0795199,15.422190596309871
AZO,33.5155475,132.5265527
BDL,36.4636178,4.5322123
BGM,50.7956635,14.1681159
BGR,44.827739,-68.798961
BHM,50.2917643,19.14518437848014
BMI,49.49915355,11.43520439574488
BNA,35.5710071,44.7364245
BOS,45.7520158,22.8374152
BTR,32.9956392,35.6826178
BTV,47.4721844,9.7499395
BUF,42.9402016,-78.73075229745353
BWI,12.7229649,4.1203454
CAE,42.2040159,-72.635583
CHA,29.7583709,91.5017422
CHO,28.0501772,-16.6656709
CHS,40.729827,-92.876885
CID,35.712047,-80.1059762
CLE,39.0678155,-84.1566341
CLT,42.463107,-71.332733
CMH,37.6435334,-93.1047756
CRW,32.6826975,-101.7345891
CVG,44.620408499999996,10.927840369587262
CWA,44.7727172,-89.66716494412262
DAY,41.2115526,-121.3744266
DCA,38.8530365,-77.0460178
DHN,23.7913021,86.4294782
DLH,33.93304755,-118.38296762351402
DSM,44.0033869,-121.6883402
DTW,11.433333,25.35
EWR,51.9293628,-0.9808491474216803
EYW,24.5554773,-81.75961603475078
FAR,37.0162727,-7.9351771
FAY,49.88527,2.80813
FLL,46.424572,-87.97114
FSD,18.4596994,53.0982277
GFK,45.4509182,9.1612291
GNV,-11.9344683,-77.0713713
GPT,35.000074,104.999927
GRB,41.6424143,-1.0016453048843648
GRR,31.3248393,34.9405303
GSO,33.4619044,-112.1760442
GSP,34.8954456,-82.21722845651891
GTR,10.6029996,14.313097304211723
HPN,10.9287173,106.6990686
HSV,51.7359606,19.424322230871738
IAD,-21.7788848,-43.3744102
ICT,10.3026067,11.1712504
ILM,34.27353635,-77.90953507173883
IND,40.3270127,-86.1746933
ITH,42.491802050000004,-76.46069464880836
JAN,35.174259,46.616195
JAX,45.1683631,3.6168847
JFK,40.642947899999996,-73.7793733748521
LAN,49.564665,3.620686
LEX,37.3703899,-81.8003918
LFT,37.3871815,-122.0019921
LGA,42.8814427,24.0216384
LIT,35.3481286,-96.6719618
MCI,47.262816349999994,11.392882331230885
MDT,36.777857600000004,-76.36139938663678
MEM,46.8397434,-100.7712354
MGM,34.0681903,-118.4008146
MIA,-21.5549167,165.9807237
MKE,48.8638011,15.115839336574235
MLI,46.8265409,0.5577074
MLU,51.50502735,11.943084123653719
MOB,6.4413385,4.3186855
MQT,47.6471515,53.350528
MSN,26.7442307,56.0064125
MSP,50.2863237,57.1743114
MSY,-34.925185299999995,138.58985442726532
MYR,33.680640600000004,-78.92905970872894
OAJ,9.9316554,-84.06156710468028
OMA,54.5992486,-7.3029907
ORD,41.2511017,-94.0710625
ORF,36.8946697,-76.20229629965002
ORH,31.6910009,76.9565141
PHL,15.8137152,102.6007983
PIT,44.4765421,-1.1063789
PNS,49.8044351,18.236185216904673
PVD,41.72434,-71.4296527
PWM,26.9297693,57.5610161
RDU,35.870371,-78.79765
RIC,41.4427241,22.5194504
ROA,49.4404591,1.0939658
ROC,43.1161699,-77.67269338979611
RST,37.2793607,49.5846102
RSW,49.9989624,6.4934556
SAV,37.765446,30.645786
SBN,40.4085088,31.5713451
SDF,34.7903513,48.5279462
SGF,43.5756415,3.8523111
SHV,32.5173,-93.7111
STL,38.74962725,-90.37047024952082
SYR,19.166667,43.166667
TLH,34.7797863,-0.5715147
TRI,38.5451489,-77.3327425
TUL,45.2678347,1.7706797
TVC,-8.97796365,13.400984544985985
TYS,35.809552999999994,-83.99887165077078
VLD,50.265338,2.800759414893616
XNA,36.279381150000006,-94.30231731247596
ABQ,51.5473673,-0.0522137
AMA,31.9515694,35.9239625
ANC,61.18103525,-149.99789189730433
AVL,47.0795199,15.422190596309871
AVP,44.54921,12.0919873
BDL,36.4636178,4.5322123
BFL,37.744653,127.2109745
BHM,50.2917643,19.14518437848014
BNA,35.5710071,44.7364245
BOI,9.568333,9.495278
BOS,45.7520158,22.8374152
BUF,42.9402016,-78.73075229745353
BUR,43.1893067,0.3267126
BWI,12.7229649,4.1203454
BZN,43.7371465,26.1066426
CHS,40.729827,-92.876885
CID,35.712047,-80.1059762
CLE,39.0678155,-84.1566341
CLT,42.463107,-71.332733
CMH,37.6435334,-93.1047756
COS,42.9768891,1.568609
DAB,32.7424496,74.4306076
DCA,38.8530365,-77.0460178
DEN,39.8606676,-104.68536732610298
DFW,32.8169726,-97.052651
DSM,44.0033869,-121.6883402
DTW,11.433333,25.35
ECP,40.33138,-74.664062
FAY,49.88527,2.80813
GNV,-11.9344683,-77.0713713
GPT,35.000074,104.999927
GRR,31.3248393,34.9405303
GSO,33.4619044,-112.1760442
GSP,34.8954456,-82.21722845651891
HSV,51.7359606,19.424322230871738
ILM,34.27353635,-77.90953507173883
IND,40.3270127,-86.1746933
JAN,35.174259,46.616195
JAX,45.1683631,3.6168847
MDT,36.777857600000004,-76.36139938663678
MEM,46.8397434,-100.7712354
MHT,50.343663,7.2622222
MKE,48.8638011,15.115839336574235
MLB,48.9811975,2.1470934529829226
MLI,46.8265409,0.5577074
OAJ,9.9316554,-84.06156710468028
OKC,43.9818686,22.866730976243858
PHF,51.7364081,8.7831561
