airport,total_delays_ct,longitude,latitude
ABE,5.0,-84.3743929,40.1658829
AEX,7.0,-92.54095486627727,31.32927365
AGS,10.0,-122.3960076,37.7794178
ALB,2.0,-115.002136,55.001251
ATL,256.0,-84.42927118585675,33.63779875
ATW,7.0,43.777669,13.770767
AUS,13.0,-97.66500963529676,30.19348925
AVL,12.0,15.422190596309871,47.0795199
AZO,2.0,132.5265527,33.5155475
BDL,6.0,4.5322123,36.4636178
BGM,3.0,14.1681159,50.7956635
BGR,10.0,-68.798961,44.827739
BHM,12.0,19.14518437848014,50.2917643
BMI,4.0,11.43520439574488,49.49915355
BNA,7.0,44.7364245,35.5710071
BOS,0.0,22.8374152,45.7520158
BTR,1.0,35.6826178,32.9956392
BTV,10.0,9.7499395,47.4721844
BUF,23.0,-78.73075229745353,42.9402016
BWI,8.0,4.1203454,12.7229649
CAE,19.0,-72.635583,42.2040159
CHA,8.0,91.5017422,29.7583709
CHO,17.0,-16.6656709,28.0501772
CHS,24.0,-92.876885,40.729827
CID,2.0,-80.1059762,35.712047
CLE,23.0,-84.1566341,39.0678155
CLT,36.0,-71.332733,42.463107
CMH,0.0,-93.1047756,37.6435334
CRW,8.0,-101.7345891,32.6826975
CVG,68.0,10.927840369587262,44.6204085
CWA,7.0,-89.66716494412262,44.7727172
DAY,3.0,-121.3744266,41.2115526
DCA,30.0,-77.0460178,38.8530365
DHN,2.0,86.4294782,23.7913021
DLH,1.0,-118.38296762351402,33.93304755
DSM,12.0,-121.6883402,44.0033869
DTW,120.0,25.35,11.433333
EWR,16.0,-0.9808491474216804,51.9293628
EYW,5.0,-81.75961603475078,24.5554773
FAR,4.0,-7.9351771,37.0162727
FAY,2.0,2.80813,49.88527
FLL,7.0,-87.97114,46.424572
FSD,3.0,53.0982277,18.4596994
GFK,7.0,9.1612291,45.4509182
GNV,2.0,-77.0713713,-11.9344683
GPT,5.0,104.999927,35.000074
GRB,7.0,-1.0016453048843648,41.6424143
GRR,8.0,34.9405303,31.3248393
GSO,7.0,-112.1760442,33.4619044
GSP,11.0,-82.21722845651891,34.8954456
GTR,6.0,14.313097304211723,10.6029996
HPN,8.0,106.6990686,10.9287173
HSV,9.0,19.42432223087173,51.7359606
IAD,5.0,-43.3744102,-21.7788848
ICT,2.0,11.1712504,10.3026067
ILM,9.0,-77.90953507173883,34.27353635
IND,18.0,-86.1746933,40.3270127
ITH,7.0,-76.46069464880836,42.49180205
JAN,4.0,46.616195,35.174259
JAX,8.0,3.6168847,45.1683631
JFK,166.0,-73.7793733748521,40.6429479
LAN,9.0,3.620686,49.564665
LEX,11.0,-81.8003918,37.3703899
LFT,11.0,-122.0019921,37.3871815
LGA,287.0,24.0216384,42.8814427
LIT,3.0,-96.6719618,35.3481286
MCI,7.0,11.392882331230885,47.26281635
MDT,1.0,-76.36139938663678,36.7778576
MEM,8.0,-100.7712354,46.8397434
MGM,5.0,-118.4008146,34.0681903
MIA,4.0,165.9807237,-21.5549167
MKE,6.0,15.115839336574236,48.8638011
MLI,7.0,0.5577074,46.8265409
MLU,3.0,11.94308412365372,51.50502735
MOB,5.0,4.3186855,6.4413385
MQT,2.0,53.350528,47.6471515
MSN,14.0,56.0064125,26.7442307
MSP,60.0,57.1743114,50.2863237
MSY,1.0,138.58985442726532,-34.925185299999995
MYR,11.0,-78.92905970872894,33.680640600000004
OAJ,6.0,-84.06156710468028,9.9316554
OMA,7.0,-7.3029907,54.5992486
ORD,2.0,-94.0710625,41.2511017
ORF,16.0,-76.20229629965002,36.8946697
ORH,2.0,76.9565141,31.6910009
PHL,1.0,102.6007983,15.8137152
PIT,5.0,-1.1063789,44.4765421
PNS,6.0,18.23618521690468,49.8044351
PVD,11.0,-71.4296527,41.72434
PWM,16.0,57.5610161,26.9297693
RDU,71.0,-78.79765,35.870371
RIC,21.0,22.5194504,41.4427241
ROA,11.0,1.0939658,49.4404591
ROC,24.0,-77.67269338979611,43.1161699
RST,4.0,49.5846102,37.2793607
RSW,5.0,6.4934556,49.9989624
