airport,latitude,longitude
AIV,33.1065,-88.1978
ALX,32.9147,-85.963
ANB,33.5882,-85.8581
ASN,33.5699,-86.0509
AUO,32.6151,-85.434
BFM,30.6268,-88.0681
BHM,33.5629,-86.7535
DCU,34.6527,-86.9454
DHN,31.3213,-85.4496
ETS,31.2997,-85.8999
EUF,31.9513,-85.1289
GAD,33.9726,-86.089
GUF,30.2905,-87.6718
HAB,34.1176,-87.9982
HSV,34.6372,-86.7751
HUA,34.6787,-86.6848
MGM,32.3006,-86.394
MOB,30.6912,-88.2428
MSL,34.7453,-87.6102
MVC,31.458,-87.351
MXF,32.3829,-86.3658
NHX,30.3891,-87.6353
OZR,31.2757,-85.7134
PLR,33.5588,-86.2491
SEM,32.3439,-86.9878
TCL,33.2206,-87.6114
TGE,32.4919,-85.7756
TOI,31.8604,-86.0121
ABL,67.1063,-157.857
ADK,51.878,-176.646
ADQ,57.75,-152.494
ADR,33.4517,-79.5262
AET,66.5518,-152.622
AGN,57.5036,-134.585
AIN,70.638,-159.995
AKB,52.2203,-174.206
AKI,60.9029,-161.231
AKK,56.9387,-154.183
AKN,58.6768,-156.649
AKP,68.1336,-151.743
ALZ,56.8995,-154.248
ANC,61.1744,-149.996
ANI,61.5816,-159.543
ANN,55.0424,-131.572
ANV,62.6467,-160.191
AOS,57.4715,-153.815
AQY,60.9661,-149.126
ARC,68.1147,-145.579
ATK,70.4673,-157.436
ATT,60.8667,-162.273
ATU,52.8284,173.18
AUK,62.68,-164.66
BCC,63.5733,-156.149
BET,60.7798,-161.838
BGQ,61.5361,-149.814
BIG,63.9945,-145.722
BKC,65.9816,-161.149
BKF,58.5548,-155.777
BMX,59.3612,-155.259
BNF,57.0888,-134.833
BQV,58.4552,-135.885
BRW,71.2854,-156.766
BSW,60.4231,-146.146
BTI,70.134,-143.582
BTT,66.9139,-151.529
BVU,61.1722,-151.044
BYA,64.0783,-141.113
CDB,55.2061,-162.725
CDL,65.9077,-161.926
CDV,60.4918,-145.478
CEM,65.5738,-144.783
CEX,65.0518,-146.047
CGA,55.4788,-133.148
CHP,65.4855,-144.611
CHU,61.5791,-159.216
CIK,66.645,-143.74
CIL,64.8979,-163.703
CKD,61.8679,-158.135
CKU,60.5439,-145.727
CKX,64.0713,-141.952
CLP,58.8337,-158.529
CXC,61.5829,-144.427
CXF,67.2522,-150.204
CYF,60.1492,-164.286
CYM,57.5149,-134.946
CYT,60.081,-142.495
CZC,61.9412,-145.294
CZF,61.7803,-166.039
CZN,62.0712,-142.048
CZO,62.5635,-144.669
CZP,55.9663,-133.797
DCK,66.9433,-156.905
DJN,64.0504,-145.717
DLG,59.0447,-158.505
DRF,60.5889,-152.162
DRG,66.0696,-162.766
DUT,53.9001,-166.544
EAA,64.7764,-141.151
EDA,55.9497,-133.661
EDF,61.251,-149.807
EEK,60.2137,-162.044
EGX,58.1855,-157.375
EHM,58.6464,-162.063
EIL,64.6657,-147.102
ELI,64.6147,-162.272
ELV,58.1952,-136.347
ELW,60.8938,-146.704
EMK,62.7861,-164.491
ENA,60.5731,-151.245
ENN,64.5473,-149.074
EXI,58.4205,-135.449
FAI,64.8151,-147.856
FAK,57.5322,-135.213
FBK,64.8375,-147.614
FLT,62.4526,-157.989
FNR,58.2544,-134.898
FRN,61.2664,-149.653
FWL,62.5093,-153.892
FYU,66.5715,-145.25
GAL,64.7362,-156.937
GAM,63.7668,-171.733
GBH,68.4797,-149.49
GDH,59.747,-158.875
GKN,62.1549,-145.457
GLV,64.5505,-163.007
GMT,65.4021,-161.281
GNU,59.1174,-161.577
GST,58.4253,-135.707
HBH,57.4122,-133.438
HCR,62.1883,-159.775
HED,55.8014,-160.899
HGZ,66.2161,-155.669
HKB,63.9958,-144.693
HNH,58.0961,-135.41
HNS,59.2438,-135.524
HOM,59.6456,-151.477
HPB,61.5239,-166.147
HSL,65.6979,-156.351
HUS,66.0411,-154.263
HWI,58.1274,-134.756
HYG,55.2063,-132.828
HYL,55.4816,-132.646
IAN,66.976,-160.437
ICY,59.969,-141.662
IGG,59.324,-155.902
IKO,52.9416,-168.849
ILI,59.7544,-154.911
IRC,65.8305,-144.076
JBT,60.782,-161.743
JLA,60.4827,-149.719
JNU,58.355,-134.576
KAE,56.973,-133.946
KAL,64.3191,-158.741
KBC,66.274,-145.824
KBE,55.9291,-131.572
KBW,56.2956,-158.401
KCC,56.0032,-132.842
KCL,56.3112,-158.536
KCN,53.4029,-167.52
KCQ,56.255,-158.775
KCR,63.5677,-155.989
KDK,57.8059,-152.374
KEB,59.3521,-151.925
KEK,59.3568,-157.471
KFP,54.8474,-163.41
KGK,59.7266,-157.259
KGX,62.8952,-160.066
KGZ,61.4551,-142.381
KIB,55.8975,-159.489
KKA,64.9395,-161.154
KKB,58.1909,-152.37
KKH,59.9608,-162.881
KKI,60.9048,-161.422
KKK,64.4166,-156.82
KKL,57.367,-154.028
KKU,58.8112,-158.559
KLG,61.5363,-160.341
KLL,59.1281,-156.859
KLN,57.5351,-153.978
KLW,55.5792,-133.076
KMO,58.9902,-159.05
KMY,57.0256,-154.146
KNW,59.4499,-157.328
KOT,63.0306,-163.533
KOY,57.1615,-154.23
KOZ,57.9254,-152.497
KPB,56.3519,-133.623
KPC,65.2537,-166.859
KPN,59.933,-164.031
KPR,58.4901,-152.582
KPV,55.906,-159.163
KPY,57.9301,-153.041
KQA,54.1338,-165.779
KSM,62.0605,-163.302
KTB,55.688,-132.537
KTH,59.9632,-158.477
KTN,55.3556,-131.714
KTS,65.3313,-166.466
KUK,60.8744,-162.524
KVC,55.1163,-162.266
KVL,67.7362,-164.563
KWF,55.2963,-133.243
KWK,59.8765,-163.169
KWN,59.7551,-161.845
KWP,57.7701,-153.549
KWT,60.7903,-161.444
KXA,55.5374,-132.398
KYK,57.5671,-154.45
KYU,64.8761,-157.727
KZB,57.553,-153.746
LIV,65.467,-148.653
LKK,58.9821,-155.121
LMA,63.886,-152.302
LNI,70.9107,-153.242
LUR,68.8751,-166.11
LVD,61.3591,-155.44
MCG,62.9529,-155.606
MCL,63.7326,-148.911
MDO,59.4499,-146.307
MLL,61.8643,-162.026
MLY,64.9976,-150.644
MNT,65.1437,-149.37
MOS,47.777,10.623
MOU,62.0954,-163.682
MRI,61.2135,-149.844
MTM,55.131,-131.578
MTX,64.8068,-147.762
MXY,61.4371,-142.904
MYK,61.3357,-142.687
MYU,60.3714,-166.271
NCN,60.0773,-147.992
NIB,63.0186,-154.358
NIN,60.0207,-151.591
NKI,55.8496,-133.228
NLG,56.0075,-161.16
NME,60.471,-164.701
NNK,58.7329,-157.02
NNL,59.9802,-154.839
NUI,70.21,-151.006
NUL,64.7293,-158.074
NUP,60.9056,-162.44
OBU,66.9123,-156.897
OLH,57.2181,-153.27
OME,64.5122,-165.445
OOK,60.5414,-165.087
ORI,57.8853,-152.846
ORT,62.9613,-141.929
ORV,66.8179,-161.019
OTZ,66.8847,-162.599
PAQ,61.5949,-149.089
PCA,58.9065,-157.714
PDB,59.7896,-154.124
PEC,57.9552,-136.236
PGM,59.3483,-151.832
PHO,68.3488,-166.799
PIP,57.5804,-157.572
PIZ,69.7329,-163.005
PKA,60.7029,-161.778
PML,56.006,-160.561
PPC,66.8141,-150.644
PPV,56.3288,-133.61
PQS,61.9346,-162.9
PSG,56.8017,-132.945
PTA,60.2017,-154.326
PTC,55.803,-133.597
PTD,56.2468,-134.648
PTH,56.9591,-158.633
PTU,59.0114,-161.82
PWR,56.381,-134.651
PYL,60.6853,-147.919
RBY,64.7272,-155.47
RDB,68.0321,-162.899
RDV,61.7881,-157.35
RMP,65.5079,-150.141
RSH,61.7789,-161.319
SCC,70.1947,-148.465
SCM,61.8453,-165.571
SDP,55.315,-160.523
