carrier_name,total_arrivals
Southwest Airlines,1438465.0
Delta Air Lines Network,984986.0
American Airlines Network,940531.0
United Air Lines Network,732212.0
SkyWest Airlines Inc.,675285.0
Republic Airline,295651.0
JetBlue Airways,274852.0
Spirit Airlines,263871.0
Alaska Airlines Network,245344.0
Envoy Air,227505.0
Endeavor Air Inc.,201517.0
PSA Airlines Inc.,194205.0
Frontier Airlines,177542.0
Allegiant Air,115539.0
Piedmont Airlines,99047.0
Mesa Airlines Inc.,88678.0
Hawaiian Airlines Network,80967.0
CommuteAir LLC dba CommuteAir,70808.0
Horizon Air,68599.0
Air Wisconsin Airlines Corp,58078.0
GoJet Airlines LLC d/b/a United Express,45052.0
